rank,name,year,rating,genre,certificate,run_time,tagline,budget,box_office,casts,directors,writers
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,Tim Robbins,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,Morgan Freeman,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,Bob Gunton,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,William Sadler,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,Clancy Brown,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,Gil Bellows,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,Mark Rolston,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,James Whitmore,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,Jeffrey DeMunn,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,Larry Brandenburg,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,Neil Giuntoli,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,Brian Libby,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,David Proval,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,Joseph Ragno,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,Jude Ciccolella,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,Paul McCrane,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,Renee Blaine,['Frank Darabont'],"Stephen King,Frank Darabont"
1,The Shawshank Redemption,1994,9.3,['Drama'],R,2h 22m,Fear can hold you prisoner. Hope can set you free.,25000000,28884504,Scott Mann,['Frank Darabont'],"Stephen King,Frank Darabont"
2,The Godfather,1972,9.2,"['Crime', 'Drama']",R,2h 55m,An offer you can't refuse.,6000000,250341816,Marlon Brando,['Francis Ford Coppola'],"Mario Puzo,Francis Ford Coppola"
2,The Godfather,1972,9.2,"['Crime', 'Drama']",R,2h 55m,An offer you can't refuse.,6000000,250341816,Al Pacino,['Francis Ford Coppola'],"Mario Puzo,Francis Ford Coppola"
2,The Godfather,1972,9.2,"['Crime', 'Drama']",R,2h 55m,An offer you can't refuse.,6000000,250341816,James Caan,['Francis Ford Coppola'],"Mario Puzo,Francis Ford Coppola"
2,The Godfather,1972,9.2,"['Crime', 'Drama']",R,2h 55m,An offer you can't refuse.,6000000,250341816,Diane Keaton,['Francis Ford Coppola'],"Mario Puzo,Francis Ford Coppola"
2,The Godfather,1972,9.2,"['Crime', 'Drama']",R,2h 55m,An offer you can't refuse.,6000000,250341816,Richard S. Castellano,['Francis Ford Coppola'],"Mario Puzo,Francis Ford Coppola"
